Time,Angle
1.400684,87.13424
1.404821,87.25832
1.408806,87.37787
1.412085,87.47624
1.41609,87.59642
1.419287,87.6923
1.423107,87.8069
1.426723,87.9154
1.429726,88.00545
1.433729,88.1256
1.43725,88.23123
1.440805,88.33787
1.443684,88.42422
1.447517,88.5392
1.451345,88.65409
1.455643,88.783
1.458601,88.87173
1.462753,88.99631
1.466368,89.10472
1.470219,89.22028
1.473379,89.31509
1.477293,89.4325
1.480885,89.54028
1.484919,89.66127
1.488045,89.75507
1.491835,89.86875
1.495783,89.98718
1.499464,90.09762
1.502523,90.18943
1.506376,90.30501
1.509884,90.41022
1.513809,90.52798
1.516993,90.6235
1.520895,90.74058
1.524321,90.84335
1.528303,90.96278
1.531321,91.05334
1.535538,91.17984
1.53899,91.28339
1.542601,91.39171
1.545727,91.48553
1.549793,91.60751
1.553465,91.71764
1.557121,91.82737
1.560089,91.91638
1.56399,92.0334
1.567211,92.13005
1.57136,92.25448
1.574369,92.34479
1.578333,92.46368
1.581688,92.56433
1.585697,92.68463
1.588739,92.77589
1.5924,92.88567
1.595739,92.9859
1.599693,93.10451
1.602947,93.2021
1.60671,93.31503
1.610012,93.41405
1.614418,93.54625
1.617582,93.64116
1.621338,93.75385
1.624388,93.84536
1.628305,93.96285
1.631411,94.05602
1.635227,94.1705
1.638565,94.27065
1.642521,94.38932
1.645689,94.4844
1.649921,94.61136
1.653669,94.72379
1.657499,94.8387
1.660366,94.92465
1.664051,95.0352
1.667223,95.13037
1.671425,95.25645
1.674591,95.35141
1.678389,95.46536
1.681974,95.57294
1.685804,95.68784
1.688944,95.78203
1.692705,95.89487
1.696165,95.99865
1.7001,96.11669
1.703211,96.21003
1.706715,96.31515
1.710001,96.4137
1.714182,96.53916
1.71781,96.64794
1.721441,96.7569
1.724602,96.85174
1.728531,96.96963
1.732048,97.07513
1.735714,97.18509
1.738935,97.28175
1.742594,97.39149
1.746109,97.49694
1.750017,97.61419
1.753426,97.71644
1.757116,97.82716
1.760515,97.92913
1.764126,98.03747
1.767218,98.13019
1.771215,98.25011
1.774597,98.35159
1.778282,98.46211
1.781813,98.56804
1.785715,98.68512
1.789309,98.7929
1.79302,98.90427
1.796234,99.00069
1.80002,99.11427
1.803572,99.22084
1.807098,99.32664
1.809959,99.41247
1.81407,99.53575
1.817707,99.64489
1.8214,99.75565
1.824419,99.84623
1.828299,99.96263
1.831842,100.069
1.835526,100.1794
1.838539,100.2699
1.842302,100.3828
1.845791,100.4874
1.849874,100.6099
1.853304,100.7128
1.857018,100.8242
1.860394,100.9255
1.869219,101.1902
1.876453,101.4072
1.88135,101.5542
1.885361,101.6745
1.889254,101.7913
1.892792,101.8974
1.896441,102.0069
1.8995,102.0987
1.903509,102.2189
1.907055,102.3253
1.91058,102.431
1.914019,102.5342
1.918217,102.6601
1.921515,102.7591
1.924896,102.8605
1.927927,102.9515
1.93182,103.0683
1.935799,103.1876
1.939489,103.2984
1.942602,103.3918
1.946434,103.5067
1.950003,103.6137
1.953701,103.7247
1.95657,103.8108
1.960489,103.9283
1.963783,104.0271
1.967495,104.1385
1.970446,104.227
1.974722,104.3553
1.978275,104.4619
1.982224,104.5804
1.9851,104.6667
1.988962,104.7825
1.99247,104.8878
1.996368,105.0047
1.999405,105.0958
2.003504,105.2188
2.006807,105.3179
2.010485,105.4282
2.013788,105.5273
2.018181,105.659
2.021664,105.7635
2.025307,105.8729
2.028357,105.9643
2.032322,106.0833
2.035887,106.1902
2.039505,106.2988
2.042484,106.3882
2.046324,106.5034
2.049837,106.6087
2.054075,106.7359
2.056873,106.8199
2.0606,106.9316
2.063768,107.0267
2.072924,107.3014
2.077129,107.4275
2.081142,107.5479
2.084692,107.6544
2.088264,107.7616
2.091408,107.8559
2.095385,107.9752
2.098822,108.0783
2.102501,108.1887
2.105511,108.279
2.109423,108.3964
2.113325,108.5134
2.117188,108.6293
2.120171,108.7188
2.123884,108.8302
2.12719,108.9294
2.130663,109.0335
2.133806,109.1279
2.137964,109.2526
